epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,130.037,0.56007,0.49781,0.89579,0.97103,0.75944,0.90497,0.7432,0.52009,0.53928,0.84256,0.000423049,0.000423049,0.000423049
56,132.393,0.5703,0.50237,0.90637,0.94802,0.81831,0.89843,0.71987,0.56595,0.54918,0.85835,0.000414049,0.000414049,0.000414049
57,134.669,0.54222,0.49353,0.891,0.94253,0.84721,0.91214,0.75539,0.52633,0.51293,0.85114,0.00040505,0.00040505,0.00040505
58,136.989,0.55306,0.49325,0.88597,0.96979,0.80241,0.9084,0.7324,0.53955,0.53259,0.84961,0.000396051,0.000396051,0.000396051
59,139.254,0.54373,0.48699,0.89571,0.97349,0.8,0.90603,0.73665,0.52782,0.51951,0.841,0.000387052,0.000387052,0.000387052
60,141.572,0.5377,0.47524,0.89136,0.90516,0.8489,0.91516,0.75191,0.5103,0.47756,0.8385,0.000378053,0.000378053,0.000378053
61,143.897,0.55961,0.47913,0.89592,0.92211,0.83716,0.91472,0.75338,0.51328,0.47674,0.84245,0.000369054,0.000369054,0.000369054
62,146.295,0.5527,0.48857,0.90932,0.93292,0.86293,0.9226,0.75639,0.5322,0.46306,0.845,0.000360055,0.000360055,0.000360055
63,148.719,0.54922,0.46914,0.88804,0.93998,0.87487,0.92949,0.75905,0.53215,0.45653,0.85069,0.000351056,0.000351056,0.000351056
64,151.024,0.54331,0.46357,0.89313,0.90693,0.85576,0.92067,0.73175,0.5711,0.46475,0.8645,0.000342057,0.000342057,0.000342057
65,153.347,0.51321,0.44638,0.89102,0.92266,0.81918,0.91472,0.73464,0.56029,0.46813,0.86179,0.000333058,0.000333058,0.000333058
66,155.652,0.51628,0.45001,0.8809,0.92707,0.82681,0.92165,0.7595,0.52106,0.4682,0.84965,0.000324058,0.000324058,0.000324058
67,157.979,0.5509,0.46508,0.89787,0.93173,0.83171,0.91561,0.75383,0.53214,0.48085,0.85056,0.000315059,0.000315059,0.000315059
68,160.299,0.51421,0.43842,0.87036,0.98615,0.8062,0.914,0.7704,0.51842,0.4976,0.8454,0.00030606,0.00030606,0.00030606
69,162.616,0.55698,0.45954,0.8923,0.98648,0.81151,0.92535,0.75511,0.5364,0.48829,0.8474,0.000297061,0.000297061,0.000297061
70,164.939,0.53643,0.45016,0.87718,0.97458,0.81778,0.92523,0.7566,0.51368,0.45848,0.84127,0.000288062,0.000288062,0.000288062
